恒大雅苑 前面绿地和湖景 看房随时联系 精装修房,恒大雅苑 -宝华商圈,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,80,"6,558元/平"
满二 ，开发商装修，采光好，好楼层好楼栋，户型方正,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 92.52平米 | 东南 南 | 简装 | 高楼层(共29层)  | 塔楼,45,"4,864元/平"
本房为20楼东边户，视野开阔，采光很好,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.36平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,99.5,"8,626元/平"
楼层好 视野宽阔 采光充足 配套设施齐全 交通便利,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 96.2平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,108,"11,227元/平"
地铁口二次装修采光充足价格可谈,碧桂园凤凰城翰林湾 -凤凰城商圈,3室1厅 | 122.85平米 | 南 | 简装 | 中楼层(共31层)  | 塔楼,71,"5,780元/平"
南京东  126平 3房 满二税少中间楼层视野开阔 精装修,碧桂园凤凰城芷兰湾 -凤凰城商圈,3室2厅 | 126平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,65,"5,159元/平"
精装  带地暖  拎包入住  户型方正,四季金辉 -宝华商圈,4室1厅 | 100.36平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,90,"8,968元/平"
楼层好·位置好·采光充足·视野开阔·配套设施齐全,碧桂园翡翠华府二期 -宝华商圈,4室2厅 | 142.7平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,135,"9,461元/平"
万达茂旁 精装三房 楼层好采光无遮挡交通便利生活方便,招商国际E城 -宝华商圈,3室2厅 | 92.98平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,87,"9,357元/平"
宝华碧桂园大学印象140户型，带家具，带车位,碧桂园大学印象峰景苑 -宝华商圈,4室1厅 | 140.28平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,103,"7,343元/平"
环境优美 交通便利 采光好  山景房,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96.1平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,100,"10,406元/平"
交通便利 户型方正 环境优美 人车分流 看房方便,四季金辉 -宝华商圈,3室2厅 | 88.75平米 | 北 南 | 毛坯 | 高楼层(共34层)  | 塔楼,59,"6,648元/平"
此房前面无遮挡 视野好 无遮挡楼层好 房东诚心出售,四季金辉 -宝华商圈,4室2厅 | 108.57平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 塔楼,75,"6,908元/平"
园区环境优美，碧桂园自带物业管理，,碧桂园凤凰城星悦湾 -凤凰城商圈,4室2厅 | 122.2平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,66,"5,401元/平"
自住装修三十万，业主诚心出售！！！改善型大四房！！,和昌仙林国际 -宝华商圈,4室2厅 | 108.93平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,99.5,"9,135元/平"
御东国际三期 3室2厅 南 北,御东国际三期 -句容主城商圈,3室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,76.98,"8,650元/平"
精装修楼层好采光充着环境好近万达茂,碧桂园大学印象 -宝华商圈,6室2厅 | 267.18平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,370,"13,849元/平"
碧桂园凤凰城凤仪苑地铁口精装大阳台公寓诚心出售,碧桂园凤凰城·凤仪苑 -凤凰城商圈,1室1厅 | 52.48平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,39,"7,432元/平"
仙林东彩虹城仅靠南京诚意出售采光好,彩虹城 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,65,"7,559元/平"
九曲花苑 精装2房 1天未住 全新 楼层好 采光好,九曲花苑 -宝华商圈,2室2厅 | 86.19平米 | 西南 | 精装 | 高楼层(共8层)  | 板楼,98,"11,371元/平"
视野宽阔 居住舒适 一梯一户274大平层 楼层好 采光好,碧桂园凤凰城学林苑 -凤凰城商圈,5室2厅 | 274.03平米 | 东南 | 精装 | 高楼层(共26层)  | 板楼,199,"7,262元/平"
仙林东 金辉精装修大三房 山景住宅 人车分流,四季金辉 -宝华商圈,3室2厅 | 107.58平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,90,"8,366元/平"
业主急售，户型好，楼层好，视野开阔，采光充足,碧桂园·中央公园 -句容主城商圈,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,71.8,"6,244元/平"
碧桂园凤凰城凤雅苑苏州园林特殊小区环境楼层好采光好,碧桂园凤凰城凤雅苑 -凤凰城商圈,3室2厅 | 136.21平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,89,"6,535元/平"
水蓝湾三房户型好 楼层好  视野开阔   环境好 满二,碧桂园凤凰城水蓝湾 -凤凰城商圈,3室2厅 | 92.19平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,54,"5,858元/平"
天正理想城 3室1厅 南,天正理想城 -宝华商圈,3室1厅 | 88.15平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,80,"9,076元/平"
全新精装 无物业费 免费停车 户型通透 采光好,宝华花园 -宝华商圈,3室1厅 | 100平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,59.8,"5,980元/平"
小区大门口出入方便、园区环境优美，楼间距大,碧桂园凤凰城临湖苑 -凤凰城商圈,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,72,"5,760元/平"
户型方正，采光足，视野开阔 全新未入住,泰禾金尊府 -宝华商圈,2室1厅 | 92平米 | 东南 | 简装 | 中楼层(共29层)  | 板楼,72,"7,827元/平"
仙林东天正理想城 繁华地段 低总价两房 满二年 有地铁,天正理想城 -宝华商圈,2室2厅 | 74.19平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,55,"7,414元/平"
格局好 楼层好 采光充足 朝南 户型方正,碧桂园仙林东郡 -宝华商圈,3室2厅 | 123平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,86,"6,992元/平"
碧桂园大学印象 4室2厅 南 北,碧桂园大学印象 -宝华商圈,4室2厅 | 147平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,120,"8,164元/平"
采光好，配套设施齐全，交通便利,恒大雅苑 -宝华商圈,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,76,"9,500元/平"
卖点： 精装，格局好，楼层好，采光足，视野开阔,碧桂园伯爵山 -宝华商圈,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,117,"9,360元/平"
恒大雅苑商圈 户型方正 视野开阔,恒大雅苑 -宝华商圈,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,162,"11,912元/平"
仙林万达旁 通透三室 山景房 精装30万 品牌家具家电,恒大雅苑 -宝华商圈,3室2厅 | 129.46平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,125,"9,656元/平"
房子格局好 楼层好 采光足 带阁楼,山城美景 -宝华商圈,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,71,"6,069元/平"
格局好 楼层好 采光充足 视野开阔 朝南 户型方正,春天里 -宝华商圈,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,84,"7,119元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南.,金科观天下 -宝华商圈,5室2厅 | 138平米 | 南 | 毛坯 | 3层  | 板楼,264,"19,131元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南.,金科观天下 -宝华商圈,5室2厅 | 138平米 | 南 | 毛坯 | 3层  | 板楼,258,"18,696元/平"
恒大雅苑 户型方正 阳光充足  诚意者价格可谈,恒大雅苑 -宝华商圈,2室2厅 | 80平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,66,"8,250元/平"
大学印象精装三房急售 拎包入住 山景住宅 配套齐全,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,105,"11,053元/平"
仙林东交通便利配套好 精装满2年采光好拎包入住,恒大雅苑 -宝华商圈,4室2厅 | 130.61平米 | 东南 | 精装 | 低楼层(共26层)  | 塔楼,148,"11,332元/平"
泰达品质小区 山景洋房  精装修 家具家电齐全 随时看,泰达青筑 -宝华商圈,3室2厅 | 112.73平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,113,"10,024元/平"
碧桂园大学印象  精装修满2年  房东急售  中高楼层,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,89,"9,369元/平"
自带商 业配套，物业管理严格。,泰达青筑 -宝华商圈,4室2厅 | 120平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,122,"10,167元/平"
彩虹城  居家3房 *高得房率 前后无遮挡 采光好楼层好,彩虹城 -宝华商圈,3室2厅 | 86.7平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,84,"9,689元/平"
仙林东郡 精装3房 中间楼层 随时看房,碧桂园仙林东郡 -宝华商圈,3室2厅 | 93.83平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,84,"8,953元/平"
香山壹境大三房，无抵押，户型好，环境好。,香山壹境 -宝华商圈,3室2厅 | 106.69平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,85,"7,968元/平"
宝华山下品质洋房顶跃带露台环境好改善居住的理想家园,朗诗万都玲珑樾 -宝华商圈,5室2厅 | 95.17平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,162,"17,023元/平"
恒大雅苑 有二次装修 拎包入住 业主诚心出售 随时看房,恒大雅苑 -宝华商圈,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,109,"8,516元/平"
花园洋房 楼层好 采光充足 纯三房住宅洋房小郑维护,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 86.5平米 | 南 西 | 毛坯 | 低楼层(共9层)  | 板塔结合,106.5,"12,313元/平"
仙林东万达茂首站，仙林国际花园 好楼层 全明 无遮挡,和昌仙林国际 -宝华商圈,3室2厅 | 91.97平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,77,"8,373元/平"
诚心急售 业主装修20万 东边户 小区正中间 采光无遮挡,恒大雅苑 -宝华商圈,3室2厅 | 128.64平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,117,"9,096元/平"
朗诗洋房采光好 楼层好 南京省中医人民医院..,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共19层)  | 板塔结合,160,"16,327元/平"
诚心急售 业主装修20万 东边户 小区正中间 采光无遮挡,恒大雅苑 -宝华商圈,3室2厅 | 128.64平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,117,"9,096元/平"
小区中间位置，环境好，配套齐全，交通方便。,恒大雅苑 -宝华商圈,3室1厅 | 124.66平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,129,"10,349元/平"
此房满2年，楼层好，采光好，视野开阔。,恒大雅苑 -宝华商圈,3室2厅 | 128.64平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,125,"9,718元/平"
房子格局好，户型方正，配套设施齐，交通便利,恒大雅苑 -宝华商圈,3室1厅 | 127平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,117,"9,213元/平"
恒大雅苑  湖景房 随时看房 有钥匙 满两年 中高楼层,恒大雅苑 -宝华商圈,3室2厅 | 134平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,122,"9,105元/平"
上书房花园，毛坯三房边户，户型方正，有钥匙随时看房,上書房 -句容主城商圈,3室2厅 | 115.44平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,82,"7,104元/平"
仙林首望城 近南京 双地铁 户型方正 边户采光无遮挡,仙林首望城 -宝华商圈,3室1厅 | 88.7平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,100,"11,274元/平"
宝华山下，花园洋房，优质宜居宜生活,九曲花苑 -宝华商圈,2室2厅 | 83平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,104.5,"12,591元/平"
房子格局好，户型方正，主卧朝南，双地铁交通便利,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,58,"5,744元/平"
105边户三房，全屋精装修品牌家电，公园商圈家门口。,公园尚城 -句容主城商圈,3室2厅 | 105.58平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,87,"8,241元/平"
世茂花园 三房两卫 小区环境好 视野开阔,世茂花园 -句容主城商圈,3室2厅 | 125.58平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,100,"7,964元/平"
精装带地暖，户型方正，采光充足,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,120,"10,435元/平"
泰达青筑 精装三房含空调 地暖 拎包入住,泰达青筑 -宝华商圈,3室2厅 | 97.6平米 | 南 | 精装 | 低楼层(共23层)  | 板楼,85,"8,710元/平"
雅居乐花园，毛坯三房，边户三面采光，有钥匙随时看！,雅居乐花园 -句容主城商圈,3室2厅 | 107平米 | 西南 | 毛坯 | 高楼层(共15层)  | 板塔结合,78,"7,290元/平"
城东香江丽景北区，优质大三房诚心出售,金润香江丽景北区 -句容主城商圈,3室2厅 | 125.26平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,112,"8,942元/平"
低密度洋房社区，大客厅，大阳台,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 89.05平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,87,"9,770元/平"
仙林东  宝华镇  招商国际小区 家具家电齐全  未住过,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,101,"11,093元/平"
精装修拎包入住家具家电齐全、。,泰达青筑 -宝华商圈,3室2厅 | 101.94平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,80,"7,848元/平"
万达茂招商 双地铁 全明 满两年 央企自带物业,招商国际E城 -宝华商圈,3室1厅 | 92.98平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,86,"9,250元/平"
满两年，楼层好，采光充足，诚心出售，价格可谈,恒大雅苑 -宝华商圈,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,95,"8,408元/平"
万达茂旁  同城世家  顶跃 露台 南,同城世家 -宝华商圈,5室2厅 | 197.05平米 | 南 | 毛坯 | 10层  | 板楼,189,"9,592元/平"
仙林万达旁 精装带地暖 山景房 自住装修 四室两卫,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.15平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,101,"8,202元/平"
大润发 中央广场 精装修 三室两厅一卫 户型方正,中央广场 -句容主城商圈,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,83,"8,300元/平"
宝华低密度洋房社区，得房率高，绿化高,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 94.96平米 | 南 | 毛坯 | 中楼层(共19层)  | 板塔结合,88,"9,268元/平"
一线山景房 双线地铁 近南京 三房两厅 精装 花园洋房,招商国际E城 -宝华商圈,3室2厅 | 98.9平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,128,"12,943元/平"
宝华山下， 环境好 ，空气新鲜。边户楼层视野好,碧桂园伯爵山 -宝华商圈,3室2厅 | 132.92平米 | 东 南 | 精装 | 高楼层(共18层)  | 板楼,126,"9,480元/平"
泰达青筑  小高层  边户  采光充足  环境优美,泰达青筑 -宝华商圈,4室2厅 | 120平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,122,"10,167元/平"
采光充足 交通便利 购物方便 楼层好 绿化好 环境好,新城源山 -宝华商圈,4室2厅 | 128.06平米 | 南 | 毛坯 | 5层  | 平房,112,"8,746元/平"
房屋格局好，采光好，居住环境优 看房方便,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,72,"7,579元/平"
四开间朝南 视野开阔 满2年南北通透,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,93,"7,557元/平"
格局好，楼层好，采光足，视野开阔，朝南,碧桂园大学印象 -宝华商圈,3室2厅 | 96.53平米 | 南 | 毛坯 | 高楼层(共33层)  | 平房,72,"7,459元/平"
业主急售 新空精装房 地下车位免费,仙林悦城 -宝华商圈,3室2厅 | 105.38平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,69,"6,548元/平"
招商国际E城 精装修三房拎包即住小区中间位置无遮挡,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,90,"9,474元/平"
户型介绍：格局好，楼层好，采光足，视野开阔，朝南.,香山壹境 -宝华商圈,3室2厅 | 79.71平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,65,"8,155元/平"
仙林东 宝华镇 招商国际小区 大三房边户,招商国际E城 -宝华商圈,3室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,87,"8,286元/平"
双地铁  交通发达  社区物业人性化管理  配套齐全,恒大雅苑 -宝华商圈,2室1厅 | 90.88平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,76,"8,363元/平"
碧桂园仙林东郡 山景房 装修好 配套全 近地铁,碧桂园仙林东郡 -宝华商圈,3室2厅 | 128.34平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,142,"11,065元/平"
仙林印象复式楼 现房 比开发商卖的复式楼便宜贰拾万,仙林印象 -宝华商圈,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,102,"8,096元/平"
满二年，楼层好，视野开阔，配套设施齐,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 120.96平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,172,"14,220元/平"
此房源房东诚心出售，随时看房。,凤坛花园 -宝华商圈,3室2厅 | 101.61平米 | 南 | 毛坯 | 7层  | 板塔结合,57,"5,610元/平"
南京仙林东，宝华山下，金科山水别墅 ，边户大院子,金科观天下 -宝华商圈,4室2厅 | 138.16平米 | 南 | 毛坯 | 3层  | 板楼,288.5,"20,882元/平"
格局好楼层好，采光足视野开阔，配套齐全，交通便利,同城世家 -宝华商圈,3室2厅 | 110.66平米 | 南 | 毛坯 | 10层  | 板楼,122,"11,025元/平"
仙林大道旁 离万达茂进 精装修,恒大雅苑 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,95,"8,261元/平"
仙林东万达茂旁宝华彩虹城精装三房户型通透,彩虹城 -宝华商圈,3室2厅 | 83.81平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,78,"9,307元/平"
仙林东万达茂 朗诗花园洋房 改善四房 边户 双地铁线,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,160,"13,794元/平"
泰达青筑精装三房高品电器采光好惠价出售,泰达青筑 -宝华商圈,3室2厅 | 101.94平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,84,"8,241元/平"
仙林东 宝华山脚下 朗诗万都玲珑越,朗诗万都玲珑樾 -宝华商圈,4室1厅 | 120.1平米 | 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,156,"12,990元/平"
大学印象峰景苑  三房朝南 诚心出售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95.48平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,74.5,"7,803元/平"
仙林东 房东二次精装  环境优美  采光好 地段佳,碧桂园仙林东郡 -宝华商圈,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,110,"8,594元/平"
一线山景房 交通便利 有阁楼 拎包入住,山城美景 -宝华商圈,4室2厅 | 100.83平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,62,"6,149元/平"
宝华山下一梯一户花园洋房依山傍水三面环山亲近大自然,碧桂园大学印象 -宝华商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,183,"12,798元/平"
南京仙林东宝华碧桂园仙林东郡精装修,碧桂园仙林东郡 -宝华商圈,3室2厅 | 123.56平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,95,"7,689元/平"
碧桂园大学印象二期，精装修带地暖，诚心出售,碧桂园大学印象 -宝华商圈,3室2厅 | 96.46平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,116,"12,026元/平"
仙林首望城 万达茂旁 交通方便 环境采光好 房东诚售！,仙林首望城 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,90,"10,113元/平"
舒适4居户型方正小区自带幼儿园，健身房等 出行便利,恒大雅苑 -宝华商圈,4室2厅 | 170.38平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,130,"7,631元/平"
仙林湖旁 地铁站旁 诚心出售 有钥匙,香山壹境 -宝华商圈,4室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,122,"10,609元/平"
一线山景房 青筑伯爵台阅山花园 采光好 精装修 无遮挡,泰达青筑 -宝华商圈,3室2厅 | 105平米 | 南 | 精装 | 18层  | 板楼,96,"9,143元/平"
仙林东，翡翠华府，精装满二，诚心出售，随时看房。,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,107,"9,305元/平"
宝华高质量小高层精装修，急卖！！,碧桂园伯爵山 -宝华商圈,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,93,"8,455元/平"
天正边户三房 精装修带地暖 诚心出售,天正理想城 -宝华商圈,3室2厅 | 104.81平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,92,"8,778元/平"
：楼层好，采光足，视野开阔，配套齐交通便利,仙林悦城 -宝华商圈,3室2厅 | 106.4平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,62,"5,828元/平"
宝华山脚，山景洋房，精装修交付。,碧桂园中天东方骏庭 -宝华商圈,4室2厅 | 131.77平米 | 南 北 | 精装 | 7层  | 板楼,165,"12,522元/平"
翡翠华府   精装修三房 满两年 诚售,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.18平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,108,"9,377元/平"
格局好，楼层好，采光足，视野开阔，朝南,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,99,"8,609元/平"
中间楼层，采光充足，配套设施完整，交通便利,恒大雅苑 -宝华商圈,3室2厅 | 101.54平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,98,"9,652元/平"
宝华山下电梯花园洋房，边户顶跃买一层住两层有大露台,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 91平米 | 南 西 北 | 毛坯 | 高楼层(共8层)  | 板塔结合,168,"18,462元/平"
泰达青筑 低密度小高层 精装三房 前后间距宽敞,泰达青筑 -宝华商圈,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,75,"8,427元/平"
此房采光好，户型方正，山水相依环境优美。,碧桂园仙林东郡 -宝华商圈,4室2厅 | 119.02平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,90,"7,562元/平"
南京仙林东宝华山下多层花园洋房精装修带地暖三房急卖,碧桂园伯爵山 -宝华商圈,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,95,"8,963元/平"
仙林东 中间楼层 采光足 精装三房拎包入住 随时看房,泰达青筑 -宝华商圈,3室2厅 | 109.33平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,82,"7,501元/平"
仙林东   宝华镇 彩虹城 精装3房 采光好,彩虹城 -宝华商圈,3室2厅 | 81.39平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,65,"7,987元/平"
楼层视野采光没问题。户型通透，南北双阳台 拎包入住,碧桂园翡翠华府 -宝华商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,162,"11,329元/平"
仙林万达茂东恒大雅苑中间位置，三房两卫，诚心出售,恒大雅苑 -宝华商圈,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,96,"7,219元/平"
小区内 湖景 圆弧三房，三开间朝南，带车位,世茂花园 -句容主城商圈,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,72,"6,000元/平"
经典三房，不带走廊，小区环境优美，高品质小区,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,86,"9,446元/平"
仙林东仙林东郡好房出售。。。。,碧桂园仙林东郡 -宝华商圈,3室2厅 | 82.81平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,77,"9,299元/平"
南京仙林东宝华，碧桂园精装三室两厅一卫诚意出售。,碧桂园仙林东郡 -宝华商圈,3室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,70,"8,434元/平"
动静分离，格局合理，边户采光，,泰达青筑 -宝华商圈,4室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,131,"11,102元/平"
远洋心里-自持物业 南北通 有公交 小区环境好。,远洋心里 -宝华商圈,3室1厅 | 87.75平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,90,"10,257元/平"
此房由小永来维护环境优美 .楼层好视野开阔,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 90平米 | 北 南 | 简装 | 中楼层(共18层)  | 板塔结合,91,"10,112元/平"
业主诚心出售 南京换房 户型布局好 楼层采光无遮挡,彩虹城 -宝华商圈,3室2厅 | 83.74平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,70.5,"8,419元/平"
中央广场 三房两厅一卫 毛坯   急卖,中央广场 -句容主城商圈,3室2厅 | 100.02平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,80,"7,999元/平"
此房楼层好，视野开阔，采光好，精装带地暖。,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,71,"7,320元/平"
仙林东 宝华镇  彩虹城小区 有钥匙,彩虹城 -宝华商圈,3室1厅 | 86.54平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,79,"9,129元/平"
仙林印象 房屋户型方正 南北同透,仙林印象 -宝华商圈,3室2厅 | 88.72平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,73,"8,229元/平"
西边户，中楼层，视野好，业主诚心出售。,远洋心里 -宝华商圈,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,85,"8,674元/平"
房子格局好，楼层好，采光足，视野好，朝南面多，南北,碧桂园仙林东郡 -宝华商圈,4室2厅 | 119.02平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,88,"7,394元/平"
仙林东四季金辉高品质小区  户型好 前后无遮挡有车位,四季金辉 -宝华商圈,3室2厅 | 100.33平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,85,"8,473元/平"
山景房   精装三房采光好 户型方正,碧桂园仙林东郡 -宝华商圈,3室2厅 | 95.36平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,73.2,"7,677元/平"
新上双地铁口 天正理想城 精装三房 拎包即住,天正理想城 -宝华商圈,3室2厅 | 85.39平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,77,"9,018元/平"
