采光充足，交通便利，天鸿苑不临高速，有钥匙随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.2平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,73,"5,522元/平"
游小金中 丽湖湾精装3房 设施齐全 拎包入住,喜之郎丽湖湾 -溧水城北,3室2厅 | 109.9平米 | 南 | 其他 | 高楼层(共21层)  | 塔楼,100,"9,100元/平"
创维佳园 好户型三房 好楼层有钥匙 满两年,创维佳园 -溧水城北,3室2厅 | 107平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,75,"7,010元/平"
创维二期 户型还格局好 采光充足 电梯纯毛坯,创维乐活城 -溧水城北,3室2厅 | 103.15平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,107,"10,374元/平"
采光好 视野开阔 户型优越 高档精装房,恒大金碧天下湖光苑 -溧水恒大,2室2厅 | 91.51平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,64,"6,994元/平"
市民之家旁，配套设施齐全，纯毛坯，视野开阔,中南锦城 -溧水城南,3室1厅 | 105.09平米 | 南 | 其他 | 高楼层(共26层)  | 塔楼,98,"9,326元/平"
满两年 看房方便 采光好 毛坯可以自己设计装修,创维乐活城 -溧水城北,3室2厅 | 89.41平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,74.5,"8,333元/平"
单价低，花园式小区，户型方正，明厨明卫,和春华府 -溧水其它,3室2厅 | 91.88平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,40,"4,354元/平"
万科精装小高层电梯洋房楼层好得房高通透格局！,万科城梧桐苑 -溧水城南,3室2厅 | 93.17平米 | 南 | 精装 | 高楼层(共11层)  | 塔楼,134,"14,383元/平"
3房2厅1厨2卫户型，南北双阳台，户型方正，,宏泰雅苑 -溧水城中,3室2厅 | 130.77平米 | 南 | 其他 | 低楼层(共10层)  | 板楼,138,"10,553元/平"
产权车位 满两年 无遮挡 全屋定制家居 业主诚心出售,宏泰雅苑 -溧水城中,3室2厅 | 130.75平米 | 南 | 其他 | 高楼层(共10层)  | 板楼,145,"11,090元/平"
塞纳名邸 近地铁口 精装有阁楼 单价低 看房方便,塞纳名邸 -溧水城北,3室2厅 | 123.56平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,89,"7,203元/平"
此房精装修，楼层好，户型好，满二，税少，。,琴韵华庭 -溧水城北,2室2厅 | 118.1平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,89,"7,536元/平"
中源阳光城 满两年 精装 有钥匙 看房方便,中源阳光城 -溧水城北,2室2厅 | 97.07平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,84,"8,654元/平"
精装修，户型方正，采光充足，配套齐全，拎包入住。,塞纳名邸 -溧水城北,3室2厅 | 117.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,97.5,"8,313元/平"
此房满五不唯一，看中可谈，业主诚心出售，得房率高,庆丰小区绿村 -溧水城中,3室1厅 | 68.52平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,71,"10,362元/平"
满二年 高楼层 视野好 采光好 精装,琴韵华庭 -溧水城北,5室2厅 | 169.28平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,129,"7,621元/平"
万科物业 开发商精装三房 前排视野好 景观楼层,溧水万达御景仕家一期 -溧水城南,3室2厅 | 105.74平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,149,"14,092元/平"
此房满二 税少，只需要缴纳个人所得税和契税,亚东同城逸境 -溧水城北,3室2厅 | 139.6平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,168,"12,035元/平"
爱涛天岳城3房户型方正诚售      ...,爱涛天岳城 -溧水城南,3室1厅 | 88.58平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,108,"12,193元/平"
河滨花园电梯3房1卫，好楼层，配套齐全，中高楼层,河滨花园(溧水) -溧水城中,3室1厅 | 102.11平米 | 南 | 其他 | 高楼层(共20层)  | 暂无数据,104,"10,186元/平"
凤麟水苑大平层 豪 华装修 拎包入住 配套完善,凤麟水苑 -溧水城南,5室2厅 | 183.32平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,295,"16,093元/平"
丽湖湾三房两卫毛坯好房满两年户型方正,喜之郎丽湖湾 -溧水城北,3室1厅 | 110平米 | 南 | 其他 | 低楼层(共21层)  | 塔楼,91.5,"8,319元/平"
地理位置好，老精装，采光很好，户型好.楼层好,庆丰小区安居苑 -溧水城中,3室2厅 | 100.04平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,90,"8,997元/平"
多层 精装修 储藏室 户型方正 采光好 交通便捷,宏泰花苑东区 -溧水城中,3室2厅 | 138.18平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,135,"9,770元/平"
户型方正 总价低 适合老年人居住,紫枫雅苑 -溧水城北,3室2厅 | 114平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,78,"6,843元/平"
丽湖湾毛坯三房满二业主诚心出售,喜之郎丽湖湾 -溧水城北,3室1厅 | 99.69平米 | 南 | 其他 | 高楼层(共21层)  | 塔楼,93.8,"9,410元/平"
此房楼层好 通风效果好 户型方正 采光充足 随时看,金东城世家一期 -溧水城北,3室2厅 | 120.37平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,102,"8,474元/平"
城南三房两卫，毛坯，户型方正，满两年,爱涛天岳城 -溧水城南,3室2厅 | 128.4平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,145,"11,293元/平"
离溧水汽车站和地铁站800米，小区北面就是溧水中医院,爱涛天逸园 -溧水城中,3室1厅 | 118.75平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,110,"9,264元/平"
此房满两年，楼层好，视野宽阔，采光充足,爱涛天逸园 -溧水城中,2室2厅 | 119.45平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,118,"9,879元/平"
诚心出售  楼层好 采光充足 生活交通便利 海乐城,亚东同城印象 -溧水城中,4室2厅 | 167.64平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,235,"14,019元/平"
户型方正  满两年 采光充足 位置佳,宏泰花苑东区 -溧水城中,3室2厅 | 143.58平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,165,"11,492元/平"
此房满五年 税少 生活配套完善，采光充裕 ，交通便利,宏泰花苑东区 -溧水城中,3室2厅 | 125.06平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,110,"8,796元/平"
将装修，满两年，跃层带大露台！！,琴韵华庭 -溧水城北,3室2厅 | 136.25平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,117,"8,588元/平"
楼层好 采光充足  近通济街海乐城 交通生活便利,分龙岗西路 -溧水城中,3室2厅 | 117.15平米 | 南 | 其他 | 中楼层(共6层)  | 平房,102,"8,707元/平"
此房满五不唯一 精装 楼层好 采光佳 视野宽阔,金庭国际花园 -溧水城中,5室1厅 | 175.19平米 | 南 | 其他 | 高楼层(共5层)  | 平房,217,"12,387元/平"
城中优质好房，带阁楼和露台。采光好。,徐园东村小区 -溧水城中,3室2厅 | 121.07平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,122,"10,077元/平"
此房源面积适中，户型方正总价适宜，楼层好采光充足,中山首府 -溧水城南,3室2厅 | 126平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,142,"11,270元/平"
商品房。城中位置多层精装修，户型方正明厨明卫,庆丰小区安居苑 -溧水城中,3室1厅 | 104.15平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,91,"8,738元/平"
首套房契税 一套房1.5% 二套房2% 无增值税,徐园东村小区 -溧水城中,3室2厅 | 133.76平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,110,"8,224元/平"
橡树城 近地铁  配套设施齐全 满两年 看房方便,橡树城 -溧水城北,3室2厅 | 103.09平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,88,"8,537元/平"
橡树城简单装修满两年买一层带一层急售,橡树城 -溧水城北,3室2厅 | 106.88平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,102,"9,544元/平"
电梯高楼层  户型方正  满两年 配套齐全,爱涛天岳城 -溧水城南,3室1厅 | 115.14平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,130,"11,291元/平"
多层得房率高，采光好，户型方正，,宏力花苑 -溧水城中,3室1厅 | 121.82平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,92,"7,553元/平"
房屋满两年楼层好视野开阔采光充足配套设施齐全,恒大金碧天下湖光苑 -溧水恒大,4室2厅 | 135平米 | 东 西 | 其他 | 低楼层(共18层)  | 板楼,86,"6,371元/平"
溧水城中位置，商圈成熟，生活便利，交通方便,宏力花苑 -溧水城中,3室2厅 | 123.36平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,135,"10,944元/平"
此房满两年 老清爽装修  采光充足 户型好,庆丰小区绿村 -溧水城中,3室2厅 | 97.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,72,"7,351元/平"
南朝湖，采光好，环境优美，花园式小区。,卧龙湖 -溧水其它,3室2厅 | 139.68平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,95,"6,802元/平"
此房满二，环境优美，空气清新，价可谈,卧龙湖 -溧水其它,3室1厅 | 101.07平米 | 东 南 | 其他 | 高楼层(共18层)  | 板楼,89,"8,806元/平"
空港商圈。后期经济发展的经过路线之一,空港新苑 -溧水其它,2室2厅 | 94.16平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,55,"5,842元/平"
卧龙湖风景区4层洋房，带电梯，环境优美,卧龙湖 -溧水其它,3室2厅 | 145.29平米 | 南 | 毛坯 | 中楼层(共4层)  | 板楼,148,"10,187元/平"
创维乐活城 纯毛坯房子 户型方正 室内无浪费面积,创维乐活城 -溧水城北,3室1厅 | 97.39平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,86,"8,831元/平"
户型方正，动静分离，高楼层，采光无遮挡,明都苑 -溧水城中,2室2厅 | 112.31平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,78,"6,946元/平"
卧龙湖小镇独栋别墅，共2层，纯毛坯带车库，满二年,卧龙湖 -溧水其它,6室2厅 | 294.09平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,490,"16,662元/平"
近地铁 市民之家 出行方便 满三年 税少,万科城月桂苑 -溧水城南,3室2厅 | 122平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,186,"15,246元/平"
位置好，保养很好，采光很好，户型好，看房方便,庆丰小区绿村 -溧水城中,3室1厅 | 86.54平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,67,"7,743元/平"
此房源面积适中 户型方正 满两年 好楼层 采光充足,中山首府 -溧水城南,3室2厅 | 92.32平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,98,"10,616元/平"
地铁口好房出售，60平米*大装修阁楼，可居住。,宏进锦绣家园 -溧水城北,3室2厅 | 98平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,80,"8,164元/平"
城中多层实用大三居，有阁楼和储藏室,广成东方名城 -溧水城南,3室2厅 | 122.71平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,122,"9,943元/平"
万科棕榈苑 东边户，家电设施齐全，即买即住。满3年,万科城棕榈苑 -溧水城南,3室2厅 | 89.67平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,119,"13,271元/平"
无遮挡，采光好，价可谈，未入住,碧桂园翡翠台 -溧水城南,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,170,"14,407元/平"
恒大大平层，前排无遮挡，空间大开阔，居住舒适,恒大金碧天下湖光苑 -溧水恒大,4室2厅 | 216平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,284,"13,149元/平"
精装修 好楼层 满两年 拎包入住 设施齐全,万科城棕榈苑 -溧水城南,3室2厅 | 110.15平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,140,"12,710元/平"
恒大金碧天下 精装三室  南北通透  中间楼层,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 113.4平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,74,"6,526元/平"
好楼层 电梯房 视野开阔 采光充足 有大型购物广场,文苑小区 -溧水城南,3室2厅 | 123.92平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,111,"8,958元/平"
房产证满5年，中间楼层，采光好,恒大金碧天下天鸿苑 -溧水恒大,3室1厅 | 125.86平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,106,"8,423元/平"
万科物业，品质楼盘，小区环境优美，安全性高,万科城梧桐苑 -溧水城南,3室2厅 | 117.56平米 | 南 北 | 其他 | 中楼层(共27层)  | 塔楼,140,"11,909元/平"
总价低，楼层格局好，交通便利，配套齐全,和春华府 -溧水其它,3室1厅 | 109.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,44,"4,035元/平"
城南三房一卫 采光好 南北格局 满五唯一,溧水区花园小区 -溧水城南,3室1厅 | 117.9平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,99,"8,397元/平"
此房二次装修，户型方正，交通便利，税费少。,恒大金碧天下湖光苑 -溧水恒大,3室2厅 | 123.21平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,88,"7,143元/平"
此房满两年，中高楼层，视野开阔采光佳，生活便利。,汇景苑 -溧水城南,3室2厅 | 137平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,160,"11,679元/平"
户型方正，电梯房，南北格局，配套施设齐全,中南锦城 -溧水城南,3室1厅 | 87.45平米 | 南 | 其他 | 高楼层(共24层)  | 塔楼,115,"13,151元/平"
蓝湖西岸 精装跃层 拎包入住 满五年 中间楼层看房方便,蓝湖西岸 -溧水城南,4室2厅 | 233.13平米 | 南 | 其他 | 中楼层(共5层)  | 塔楼,460,"19,732元/平"
此房户型方正，次新小区环境好，看房方便,金龙南郡 -溧水城南,3室2厅 | 101.8平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,96,"9,431元/平"
城南多层低楼层，精装修，带储藏室，户型方正,广成东方名城 -溧水城南,3室2厅 | 123.5平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,135,"10,932元/平"
精装 带院子满两年 边户 出行方便,万科城棕榈苑 -溧水城南,3室2厅 | 115.03平米 | 南 北 | 其他 | 低楼层(共28层)  | 塔楼,175,"15,214元/平"
溧水城南和园小高层精装修双卫诚售  .,和园 -溧水城南,3室1厅 | 136.91平米 | 南 | 其他 | 中楼层(共9层)  | 板楼,180,"13,148元/平"
满两年 纯毛坯 中上楼层 随时看房  近万达 近地铁,石虎名苑 -溧水城南,3室2厅 | 125.47平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,99,"7,891元/平"
全南采光好，环境优美，花园式小区，恒大物业,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 123.69平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,88,"7,115元/平"
此房是安置小区，已经领证，满两年，生活便利,幸庄佳苑南区 -溧水城南,2室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,78,"8,211元/平"
开发商精装修 前排无遮挡 出行方便,万科城棕榈苑 -溧水城南,3室2厅 | 89.67平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,105,"11,710元/平"
恒大洋房出售，一梯两户，采光好，出行便利,恒大金碧天下湖光苑 -溧水恒大,4室2厅 | 126平米 | 西 | 其他 | 中楼层(共11层)  | 板楼,88,"6,985元/平"
精装修 满两年 有钥匙 看中价格可谈,石虎名苑 -溧水城南,3室2厅 | 125.63平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,100,"7,960元/平"
恒大金碧天下 满二 视野好，诚心出售 三室,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.45平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,93,"7,022元/平"
城南三房一卫 采光好 南北格局 满五唯一,溧水区花园小区 -溧水城南,3室1厅 | 117.9平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,99,"8,397元/平"
此房二次装修，户型方正，交通便利，税费少。,恒大金碧天下湖光苑 -溧水恒大,3室2厅 | 123.21平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,88,"7,143元/平"
此房户型方正，次新小区环境好，看房方便,金龙南郡 -溧水城南,3室2厅 | 101.8平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,96,"9,431元/平"
中南景城，三房两卫生，精装修，含车位,中南锦城 -溧水城南,3室1厅 | 112.85平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,160,"14,179元/平"
花园洋房 万科物业 品质保障 满二税少 看房方便,万科城梧桐苑 -溧水城南,3室2厅 | 85.22平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,125,"14,668元/平"
恒大金碧天下 精装三室  南北通透  中间楼层,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 113.4平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,74,"6,526元/平"
精装修 好楼层 满两年 拎包入住 设施齐全,万科城棕榈苑 -溧水城南,3室2厅 | 110.15平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,140,"12,710元/平"
好楼层 电梯房 视野开阔 采光充足 有大型购物广场,文苑小区 -溧水城南,3室2厅 | 123.92平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,111,"8,958元/平"
溧水城南和园小高层精装修双卫诚售  .,和园 -溧水城南,3室1厅 | 136.91平米 | 南 | 其他 | 中楼层(共9层)  | 板楼,180,"13,148元/平"
总价低，楼层格局好，交通便利，配套齐全,和春华府 -溧水其它,3室1厅 | 109.06平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,44,"4,035元/平"
城南多层低楼层，精装修，带储藏室，户型方正,广成东方名城 -溧水城南,3室2厅 | 123.5平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,135,"10,932元/平"
万科物业，小三房，满两年，好楼层，配套齐全,万科城棕榈苑 -溧水城南,3室1厅 | 98.81平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,129,"13,056元/平"
城中多层实用大三居，有阁楼和储藏室,广成东方名城 -溧水城南,3室2厅 | 122.71平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,122,"9,943元/平"
万科棕榈苑 东边户，家电设施齐全，即买即住。满3年,万科城棕榈苑 -溧水城南,3室2厅 | 89.67平米 | 南 北 | 其他 | 高楼层(共28层)  | 塔楼,119,"13,271元/平"
满两年 纯毛坯 中上楼层 随时看房  近万达 近地铁,石虎名苑 -溧水城南,3室2厅 | 125.47平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,99,"7,891元/平"
全南采光好，环境优美，花园式小区，恒大物业,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 123.69平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,88,"7,115元/平"
此房是安置小区，已经领证，满两年，生活便利,幸庄佳苑南区 -溧水城南,2室1厅 | 95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,78,"8,211元/平"
简装满两年，中高楼层，采光通风好,幸庄佳苑南区 -溧水城南,2室2厅 | 92.15平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,80,"8,682元/平"
无遮挡，采光好，价可谈，未入住,碧桂园翡翠台 -溧水城南,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,170,"14,407元/平"
此房楼层好，视野宽阔，采光充足，交通便利，湖景房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 123.69平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,91,"7,358元/平"
湖景房 满二年税费少  精装三房  拎包入住,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 104.09平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,65,"6,245元/平"
多层好楼层，视野好，满2年，拎包入住，格局好,琴韵华庭 -溧水城北,3室2厅 | 119平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,90,"7,564元/平"
精装底跃 采光无影响 地铁生活交通便利,蓝湖西岸 -溧水城南,3室2厅 | 178平米 | 南 | 其他 | 低楼层(共10层)  | 塔楼,275,"15,450元/平"
创维二期 一楼带院子 三房两厅一卫 南北 朝向,创维乐活城 -溧水城北,3室2厅 | 92平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,62,"6,740元/平"
位置好，老精装，，采光很好，户型好,庆丰小区安居苑 -溧水城中,3室2厅 | 122.12平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,109,"8,926元/平"
阳光佳苑三房出售，看房方便！.............,阳光家苑 -溧水城中,3室1厅 | 132.65平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,105,"7,916元/平"
满五唯一 税少前无遮挡 拎包入住,万科城棕榈苑 -溧水城南,3室1厅 | 98.81平米 | 南 | 其他 | 低楼层(共23层)  | 塔楼,116,"11,740元/平"
恒大前排湖景大三房出售，视野好，采光佳，好楼层,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 130.85平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,106,"8,101元/平"
小区环境好，交通购物方便，户型方正。。。,康利华府 -溧水城南,3室2厅 | 117.91平米 | 南 | 其他 | 中楼层(共15层)  | 塔楼,170,"14,418元/平"
海乐城旁 通济街名仕阁 自住精装大三房 户型方正满二,通济名仕阁 -溧水城中,3室1厅 | 134.48平米 | 南 | 其他 | 低楼层(共14层)  | 板楼,120,"8,924元/平"
卧龙湖地铁站 恒大精装4房 观湖景 视野开阔,恒大金碧天下天鸿苑 -溧水恒大,4室1厅 | 162.5平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,100,"6,154元/平"
海乐城旁 通济街名仕阁 自住精装大三房 户型方正满二,通济名仕阁 -溧水城中,3室1厅 | 134.48平米 | 南 | 其他 | 低楼层(共14层)  | 板楼,120,"8,924元/平"
恒大天鸿苑  满二  户型好 精装修 随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 127.43平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,72,"5,651元/平"
亚东同城逸境 三房两卫 满二 急售 毛、,亚东同城逸境 -溧水城北,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,85,"6,747元/平"
此房有阁楼     阁楼有大露台     满二,新龙佳苑 -溧水城中,3室2厅 | 109平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,90,"8,257元/平"
成熟小区、多层好楼层，得房率高，采光好,水岸康城 -溧水城南,3室2厅 | 116.26平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,148,"12,731元/平"
满两年精装 复 式 楼层  居住舒适 生活交通便利,水岸康城 -溧水城南,4室2厅 | 170平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,180,"10,589元/平"
金东城世家一期优质好房诚售........,金东城世家一期 -溧水城北,4室2厅 | 142.62平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,140,"9,817元/平"
康丽华府 大润发 万达广场 时代广场 跃层 四房 满二年,康利华府 -溧水城南,4室2厅 | 136.78平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,175,"12,795元/平"
环境优美，花园式小区，空气清新，价可谈,卧龙湖 -溧水其它,5室2厅 | 241.34平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,478,"19,807元/平"
满两年 有阁楼 阳光好 价格可以谈,广成东方名城 -溧水城南,3室2厅 | 111.81平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,108,"9,660元/平"
此房  采光充足 小区还可以，离万达近,石虎名苑 -溧水城南,3室2厅 | 125.4平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,102,"8,134元/平"
万科物业，距市民之家450米，地铁，生活等配套齐全,万科城棕榈苑 -溧水城南,4室2厅 | 143.01平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,180,"12,587元/平"
爱涛天逸园114.08平精装，满２年，100万随时看房,爱涛天逸园 -溧水城中,3室2厅 | 114.08平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,100,"8,766元/平"
金龙南郡101平米好房适合老人居住,金龙南郡 -溧水城南,3室2厅 | 101.72平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,83.8,"8,239元/平"
金东城世家精装修  中间楼层  诚心卖,金东城世家一期 -溧水城北,3室2厅 | 142.05平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,136,"9,575元/平"
满两年 采光好 视野开阔 户型优越 高档开发商毛坯房,恒大金碧天下闻涛苑 -溧水恒大,4室2厅 | 198.32平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,235,"11,850元/平"
拎包入住 采光好 三房两卫 近地铁满两年,阳光家苑 -溧水城中,3室1厅 | 132.68平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,149,"11,231元/平"
爱涛天岳城  满二  户型方正  通风采光好,爱涛天岳城 -溧水城南,3室1厅 | 89平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,80,"8,989元/平"
多层得房率高 好楼层 采光充足 配套设施齐全,庆丰小区绿村 -溧水城中,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,102,"8,500元/平"
此房南北朝向，多层住宅，适合各类人群居住，全明户型,金庭国际花园 -溧水城中,3室1厅 | 119.22平米 | 西南 | 其他 | 高楼层(共6层)  | 平房,94,"7,885元/平"
户型方正，电梯房，小区地理位置优越,秦淮东郡 -溧水城中,3室2厅 | 125.9平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,120,"9,532元/平"
水岸康城   电梯房  采光充足  满两年 精装婚房,水岸康城 -溧水城南,3室2厅 | 118.81平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,180,"15,151元/平"
楼层好  采光充足 民国风 生活交通便利,福晟庭院 -溧水其它,3室2厅 | 85.58平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,60,"7,011元/平"
多层得房率高，采光好，户型方正,宏力花苑 -溧水城中,3室2厅 | 123.37平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,103,"8,349元/平"
城中繁华区域很规整完善的一个小区，房龄年轻,万辰广场 -溧水城中,3室2厅 | 122.9平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,160,"13,019元/平"
蓝湖西岸 自住精装 边户 近地铁 满5不唯一,蓝湖西岸 -溧水城南,3室2厅 | 124.84平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,140,"11,215元/平"
经典花苑婚装带储藏室带车库好楼层的多层好房,经典花苑 -溧水城中,3室2厅 | 129.18平米 | 南 | 其他 | 中楼层(共6层)  | 平房,143.7,"11,125元/平"
满2年，跃层 全明户型，视野开阔，采光充足，精装修,蓝湖西岸 -溧水城南,5室2厅 | 255.81平米 | 南 | 精装 | 低楼层(共10层)  | 塔楼,350,"13,683元/平"
金东城世家 拎包入住 证满两年 楼层号 采光足,金东城世家西园二期 -溧水城北,3室2厅 | 95平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,95,"10,000元/平"
塞纳名邸中间楼层 采光充足 全新装修 拎包住,塞纳名邸 -溧水城北,2室2厅 | 86.99平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,85,"9,772元/平"
塞纳名邸多层两房，户型方正，南北通透，采光无遮挡,塞纳名邸 -溧水城北,2室2厅 | 95.5平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,82,"8,587元/平"
亚东同城逸境 毛坯 满五唯一  三室,亚东同城逸境 -溧水城北,3室2厅 | 88.66平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,85,"9,588元/平"
带院子 户型方正 创维2房 随时看房,创维乐活城 -溧水城北,2室2厅 | 83平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,80,"9,639元/平"
